classifier,repeat,panel,panel_label,panel_size,panel_score,best_constituent_single,best_constituent_single_score,integration_gain,gain_positive
SVM,5,cnv+mrna,CNV+mRNA,2,0.8149882403711295,mrna,0.8157817680799798,-0.0007935277088503279,False
SVM,5,cnv+rppa,CNV+RPPA,2,0.6515504998741324,rppa,0.6322379571690581,0.01931254270507432,True
SVM,5,mrna+rppa,mRNA+RPPA,2,0.8240803619592189,mrna,0.8157817680799798,0.008298593879239036,True
SVM,5,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8156036249865142,mrna,0.8157817680799798,-0.0001781430934656436,False
SVM,5,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6527908844895169,rppa,0.6322379571690581,0.02055292732045888,True
SVM,5,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8247149773438343,mrna,0.8157817680799798,0.008933209263854436,True
SVM,5,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8149383024058692,mrna,0.8157817680799798,-0.0008434656741106439,False
SVM,5,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8149383024058692,mrna,0.8157817680799798,-0.0008434656741106439,False
SVM,6,mutations+cnv,Mutations+CNV,2,0.64265137375481,cnv,0.6434366301650664,-0.0007852564102563964,False
SVM,6,mutations+mrna,Mutations+mRNA,2,0.8343732828064876,mrna,0.8337578981911029,0.0006153846153846843,True
SVM,6,mutations+rppa,Mutations+RPPA,2,0.6628034038191822,rppa,0.6554457735462293,0.007357630272952886,True
SVM,6,cnv+mrna,CNV+mRNA,2,0.8136730139892834,mrna,0.8337578981911029,-0.02008488420181953,False
SVM,6,cnv+rppa,CNV+RPPA,2,0.649533170604524,rppa,0.6554457735462293,-0.005912602941705369,False
SVM,6,mrna+rppa,mRNA+RPPA,2,0.8356136674218723,mrna,0.8337578981911029,0.0018557692307693552,True
SVM,6,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8136730139892834,mrna,0.8337578981911029,-0.02008488420181953,False
SVM,6,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.649533170604524,rppa,0.6554457735462293,-0.005912602941705369,False
SVM,6,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8262386674218722,mrna,0.8337578981911029,-0.007519230769230667,False
SVM,6,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8055787211853132,mrna,0.8337578981911029,-0.028179177005789757,False
SVM,6,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8042883986046678,mrna,0.8337578981911029,-0.029469499586435077,False
SVM,7,mutations+cnv,Mutations+CNV,2,0.6501658754989752,cnv,0.6513677985758981,-0.0012019230769229061,False
SVM,7,mutations+mrna,Mutations+mRNA,2,0.8318761507893695,mrna,0.8318761507893695,0.0,False
SVM,7,mutations+rppa,Mutations+RPPA,2,0.6545343034128097,rppa,0.6533741369079727,0.001160166504836968,True
SVM,7,cnv+mrna,CNV+mRNA,2,0.8341576851152588,mrna,0.8318761507893695,0.0022815343258892895,True
SVM,7,cnv+rppa,CNV+RPPA,2,0.6649261876505916,rppa,0.6533741369079727,0.011552050742618891,True
SVM,7,mrna+rppa,mRNA+RPPA,2,0.8206691615420578,mrna,0.8318761507893695,-0.011206989247311672,False
SVM,7,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8347826851152588,mrna,0.8318761507893695,0.002906534325889276,True
SVM,7,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6678428543172583,rppa,0.6533741369079727,0.01446871740928557,True
SVM,7,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8212941615420577,mrna,0.8318761507893695,-0.010581989247311796,False
SVM,7,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8135423004998742,mrna,0.8318761507893695,-0.0183338502894953,False
SVM,7,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8147923004998742,mrna,0.8318761507893695,-0.017083850289495328,False
SVM,8,mutations+cnv,Mutations+CNV,2,0.6469445643183371,cnv,0.6419189232926961,0.00502564102564107,True
SVM,8,mutations+mrna,Mutations+mRNA,2,0.817616962455497,mrna,0.817616962455497,0.0,False
SVM,8,mutations+rppa,Mutations+RPPA,2,0.6542437605638868,rppa,0.6503431195382458,0.0039006410256410273,True
SVM,8,cnv+mrna,CNV+mRNA,2,0.8347775290394506,mrna,0.817616962455497,0.017160566583953596,True
SVM,8,cnv+rppa,CNV+RPPA,2,0.6544438270938973,rppa,0.6503431195382458,0.004100707555651506,True
SVM,8,mrna+rppa,mRNA+RPPA,2,0.8231650393785739,mrna,0.817616962455497,0.005548076923076906,True
SVM,8,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8354025290394504,mrna,0.817616962455497,0.01778556658395347,True
SVM,8,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6456842117092819,rppa,0.6503431195382458,-0.004658907828963832,False
SVM,8,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8231650393785739,mrna,0.817616962455497,0.005548076923076906,True
SVM,8,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.820153873125472,mrna,0.817616962455497,0.0025369106699750787,True
SVM,8,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8207788731254719,mrna,0.817616962455497,0.0031619106699749544,True
SVM,9,mutations+cnv,Mutations+CNV,2,0.6363247203941453,cnv,0.6357093357787608,0.0006153846153845732,True
SVM,9,mutations+mrna,Mutations+mRNA,2,0.8187321402884166,mrna,0.8187321402884166,0.0,False
SVM,9,mutations+rppa,Mutations+RPPA,2,0.6518239382169957,rppa,0.6367029704750602,0.015120967741935498,True
SVM,9,cnv+mrna,CNV+mRNA,2,0.8122764951271263,mrna,0.8187321402884166,-0.006455645161290269,False
SVM,9,cnv+rppa,CNV+RPPA,2,0.6435776153486532,rppa,0.6367029704750602,0.006874644873593017,True
SVM,9,mrna+rppa,mRNA+RPPA,2,0.8187321402884166,mrna,0.8187321402884166,0.0,False
SVM,9,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8122764951271263,mrna,0.8187321402884166,-0.006455645161290269,False
SVM,9,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6378167457834358,rppa,0.6367029704750602,0.0011137753083756419,True
SVM,9,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8187321402884166,mrna,0.8187321402884166,0.0,False
SVM,9,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.815491755673032,mrna,0.8187321402884166,-0.0032403846153845617,False
SVM,9,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.815491755673032,mrna,0.8187321402884166,-0.0032403846153845617,False
