classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,EHD2,50,0.0044394306074436885,0.0043888477711927975,0.004492368621604842,-1.974075531496868e-18,False
RF,EHF,50,0.0034567416338351954,0.003399754232531154,0.0035124699873121112,-2.6448099105179114e-19,False
RF,EHHADH,50,0.003803020854465195,0.003751735612690651,0.0038556522204831185,-1.6529295687604007e-18,False
RF,EIF4EBP1,50,0.004062009713788421,0.004014478263683386,0.004111490510193527,-2.8872481737320098e-19,False
RF,ELAPOR1,50,0.004112545179403181,0.004065613148563735,0.004161634524912762,-1.1608993221532406e-18,False
RF,ELAPOR2,50,0.004242155016066116,0.004191911303813814,0.004289145141894026,-8.599949000490808e-19,False
RF,ELAVL2,50,0.003170536828405903,0.0031302893567248845,0.003210830660652828,1.4445734758806147e-19,False
RF,ELF3,7,0.003975304875345359,0.003860387001903456,0.0041049234861897585,-7.90855634907537e-19,False
RF,ELF5,50,0.004385909156692975,0.004327128221153429,0.004444482547025957,1.896504286629009e-18,False
RF,ELL2,49,0.0037244414028118414,0.0036633876188730775,0.0037861532375096114,-1.5234045538680865e-18,False
RF,ELMO3,27,0.0035916453411018426,0.003508288397470426,0.003680512349888625,-1.320509942569078e-18,False
RF,ELN,50,0.003964664423818318,0.003912893087939071,0.0040149895435928305,-2.2997321815586908e-20,False
RF,ELN-AS1,50,0.004187279324996982,0.004138262595753395,0.004234569980039057,-2.197413373517068e-19,False
RF,ELOCP19,26,0.0044459996779128595,0.004398153927250986,0.004495544337295895,-1.7000258259936081e-18,False
RF,ELOCP21,14,0.003299659816121804,0.0032172362461259053,0.0033973246141738964,-1.0337590586561386e-18,False
RF,ELOVL2,50,0.004355880926312712,0.004308286989478703,0.004403401442738548,-1.0099176120572543e-18,False
RF,ELOVL2-AS1,50,0.004238345715736226,0.00418678411264246,0.004293187708471526,-9.240462711173028e-19,False
RF,ELOVL5,50,0.003748127756577185,0.0037097363880577295,0.0037859667634103427,-1.7641223723176612e-18,False
RF,ELOVL6,50,0.0033586414579487643,0.003313168467527774,0.0034033369512647634,-1.3086312403655082e-18,False
RF,ELOVL7,50,0.0036269870173979684,0.003581722489080475,0.00367696497240547,-1.7139602131924704e-19,False
RF,ELP2,50,0.004696396313521778,0.004653067776127316,0.004739650575961686,-5.919687806374806e-19,False
RF,EMB,50,0.003939954437550955,0.0039031522000591958,0.003977822432029868,-8.420340562474055e-19,False
RF,EMCN,50,0.004618461801052231,0.004579510268511766,0.004655983950403583,4.459008536998208e-19,False
RF,EME1,45,0.004749077875403077,0.004697971365750791,0.004795313693078945,-2.5435670671813823e-18,False
RF,EME2,50,0.004187341847587302,0.00413592410555065,0.004236178824787181,-3.0267959362654118e-18,False
RF,EMID1,50,0.0036693588374262865,0.0036086001640067106,0.003728572781806687,5.169973630669546e-19,False
RF,EMILIN1,50,0.004685737729444874,0.004618965991997003,0.004749085169634524,-2.5527579970294284e-18,False
RF,EMILIN2,50,0.0038002855023695653,0.0037364874298124523,0.0038668845768998973,-1.7553000619378032e-18,False
RF,EML1,1,0.004289679710839254,0.004289679710839254,0.004289679710839254,-1.9626933213219184e-18,False
RF,EML2,50,0.004429780841443366,0.004374019524794149,0.0044853685672255296,-5.903849976355766e-19,False
RF,EMP1,50,0.003590730390297092,0.0035281739208890862,0.0036581933327187303,-1.2977160570748526e-18,False
RF,EMP3,3,0.0037468695681303122,0.0035380705970829607,0.004052871031160408,-8.598203128783371e-19,False
RF,EN1,50,0.004210328371597297,0.00415973408090111,0.004266762532802007,1.2139482133271308e-18,False
RF,ENAH,50,0.004215991006714274,0.0041587662017709415,0.004272326160151899,-2.594237530423991e-18,False
RF,ENC1,21,0.0035026603233874317,0.003429990961154552,0.003586171984261779,-2.596709206141715e-18,False
RF,ENDOD1,48,0.003207897565671088,0.0031417079949025446,0.0032682236077261435,-5.959608791213382e-19,False
RF,ENHO,50,0.003442613243593857,0.003385771188148745,0.0034983823722020335,1.3676455238970926e-19,False
RF,ENO2,50,0.004435729183993615,0.004370910636851246,0.004497649082993533,-1.9240681533343672e-18,False
RF,ENOX1,50,0.00402924608086689,0.003977815892667447,0.004078886656008523,-2.0027923168607247e-18,False
RF,ENPP1,50,0.004385438197653903,0.00433568098141304,0.004437004793166655,-2.872666370788998e-18,False
RF,ENPP2,50,0.0035324931192484694,0.0034751852968864737,0.0035945669611607933,7.762280777380575e-19,False
RF,ENPP4,50,0.0046285365775789265,0.004584877821165463,0.004675991278378038,1.8181742363866218e-20,False
RF,ENPP5,50,0.004386957223088951,0.004337109238479922,0.004439274218229399,3.202473092940414e-20,False
